XYDATA,aunps_blanked.jws,aunps_blanked.z_norm,aunps_blanked.max_norm
582.8,0.238091,0.5806430436621978,0.6743316613656511
582.9,0.23777,0.5794723482472393,0.6734225112369258
583,0.237377,0.5780390669448132,0.6723094395840001
583.1,0.237032,0.5767808429006988,0.6713323156138746
583.2,0.236744,0.5757304993508293,0.6705166295170742
583.3,0.236389,0.5744358050445666,0.669511183113032
583.4,0.236058,0.5732286393674597,0.6685737105503898
583.5,0.235673,0.5718245342747523,0.6674832968445976
583.6,0.23533,0.5705736042830676,0.6665118373612555
583.7,0.235031,0.5694831434448351,0.6656649965871467
583.8,0.2347,0.5682759777677282,0.6647275240245046
583.9,0.234394,0.5671599877459919,0.6638608575466541
584,0.234045,0.5658871755970182,0.662872404602962
584.1,0.233715,0.5646836569461261,0.6619377642837115
584.2,0.233385,0.5634801382952341,0.661003123964461
584.3,0.233102,0.5624480298764387,0.660201599084619
584.4,0.232815,0.5614013333527841,0.6593887452312103
584.5,0.232484,0.5601941676756772,0.6584512726685681
584.6,0.232182,0.5590927657588003,0.6575959351642843
584.7,0.231883,0.5580023049205678,0.6567490943901756
584.8,0.231639,0.5571124305241506,0.6560580270026086
584.9,0.231324,0.5559636172664809,0.6551658703342331
585,0.23101,0.554818451035026,0.6542765459092493
585.1,0.230704,0.5537024610132897,0.6534098794313988
585.2,0.230413,0.5526411763847758,0.6525856966044234
585.3,0.230103,0.5515105982581803,0.6517077011530064
585.4,0.229787,0.5503581379742957,0.6508127122412392
585.5,0.229443,0.5491035609563961,0.6498384205145054
585.6,0.229071,0.5477468672044814,0.6487848259728048
585.7,0.228761,0.5466162890778858,0.6479068305213878
585.8,0.228409,0.5453325358502676,0.6469098808475205
585.9,0.228082,0.5441399582780201,0.6459837372584452
586,0.227759,0.5429619688106317,0.6450689226429362
586.1,0.227446,0.5418204496053918,0.6441824304613442
586.2,0.227146,0.5407263417409444,0.6433327574438437
586.3,0.226874,0.5397343506105121,0.64256238724131
586.4,0.226589,0.5386949481392873,0.6417551978746846
586.5,0.226304,0.5376555456680623,0.6409480085080592
586.6,0.226046,0.5367146129046375,0.6402172897130088
586.7,0.225699,0.5354490948080936,0.6392345012561
586.8,0.225375,0.5342674583144903,0.6383168543971995
586.9,0.225063,0.5331295861354651,0.6374331944589992
587,0.224741,0.5319552436942916,0.636521212086882
587.1,0.224366,0.5305876088637326,0.6354591208150064
587.2,0.224028,0.5293549140031218,0.6345018225486226
587.3,0.223637,0.5279289267531255,0.6333944153824803
587.4,0.223386,0.5270135231732046,0.6326835222911716
587.5,0.223112,0.5260142379903426,0.6319074876018547
587.6,0.222841,0.5250258938861253,0.6311399496427126
587.7,0.22256,0.5240010795197596,0.6303440892496538
587.8,0.222243,0.5228449722096602,0.629446268094495
587.9,0.221978,0.5218785102627318,0.628695723595703
588,0.221649,0.5206786386380545,0.6277639155198442
588.1,0.221387,0.5197231177697705,0.6270218677512271
588.2,0.220994,0.5182898364673445,0.6259087960983015
588.3,0.220692,0.5171884345504675,0.6250534585940177
588.4,0.220371,0.516017739135509,0.6241443084652923
588.5,0.220009,0.5146975156457425,0.6231190363575085
588.6,0.219729,0.5136763483055916,0.6223260082078415
588.7,0.219401,0.5124801237071293,0.6213970323753742
588.8,0.219125,0.5114735444718376,0.6206153331992739
588.9,0.218879,0.5105763760229908,0.6199186013249235
589,0.218605,0.5095770908401289,0.6191425666356064
589.1,0.218266,0.5083407489533034,0.6181824361258309
589.2,0.217969,0.5072575821675006,0.6173412598385055
589.3,0.21768,0.5062035915914164,0.6165227414983134
589.4,0.21736,0.5050365432026725,0.6156164236129796
589.5,0.217042,0.5038767888663584,0.6147157702144292
589.6,0.216762,0.5028556215262076,0.6139227420647622
589.7,0.216418,0.5016010445083079,0.61294845033802825
589.8,0.216126,0.5005361128535792,0.6121214352676613
589.9,0.215858,0.4995587098280062,0.6113623940386942
590,0.215496,0.49823848633823975,0.6103371219309103
590.1,0.215188,0.4971152022640738,0.6094647909662765
590.2,0.214904,0.49607944681906374,0.6086604338430428
590.3,0.214632,0.49508745568863144,0.607890063640509
590.4,0.21424,0.49365782141242037,0.6067798242309752
590.5,0.213963,0.4926475951509139,0.605995292811483
590.6,0.213668,0.4915717224175407,0.605159781010941
590.7,0.213355,0.49043020321230063,0.6042732888293488
590.8,0.21311,0.4895366817896687,0.6035793891983902
590.9,0.212889,0.4887306889961925,0.6029534634088315
591,0.212585,0.48762199302688586,0.6020924614177644
591.1,0.21233,0.4866920013421056,0.601370239352889
591.2,0.212068,0.4857364804738217,0.600628191584272
591.3,0.211731,0.4845074326394258,0.5996737255612798
591.4,0.211422,0.48338050153904505,0.5987985623532545
591.5,0.211121,0.4822827466483829,0.5979460570923624
591.6,0.210851,0.48129804957038036,0.597181351376612
591.7,0.21052,0.4800908838932735,0.5962438788139698
591.8,0.210227,0.47902230521232986,0.595414031500211
591.9,0.20989,0.477793257377934,0.5944595654772189
592,0.209608,0.4767647959853535,0.5936608728407684
592.1,0.209334,0.47576551080249163,0.5928848381514514
592.2,0.20904,0.47469328509533326,0.592052158594301
592.3,0.208852,0.4740076441669463,0.5915196968366674
592.4,0.208507,0.47274942012283183,0.5905425728665419
592.5,0.208206,0.47165166523216967,0.5896900676056498
592.6,0.207971,0.4707946140716859,0.5890244904086077
592.7,0.207701,0.4698099169936833,0.5882597846928574
592.8,0.207444,0.46887263125647344,0.5875318981411987
592.9,0.207148,0.4677931114968854,0.586693554097265
593,0.206863,0.46675370902566043,0.5858863647306395
593.1,0.206494,0.4654079563523903,0.5848412669191141
593.2,0.206262,0.46456184627055097,0.584184186452247
593.3,0.205937,0.4633765627507331,0.5832637073499549
593.4,0.205567,0.46202716305124797,0.5822157772950377
593.5,0.205255,0.46088929087222275,0.5813321173568372
593.6,0.204973,0.45986082947964224,0.5805334247203868
593.7,0.204697,0.4588542502443507,0.5797517255442863
593.8,0.204435,0.45789872937606674,0.5790096777756694
593.9,0.204169,0.4569286204029234,0.5782563010334856
594,0.203873,0.4558491006433354,0.5774179569895519
594.1,0.203651,0.4550394608236444,0.5767891989566015
594.2,0.203437,0.45425899721367197,0.5761830988707847
594.3,0.20319,0.45335818173861037,0.5754835347530426
594.4,0.202887,0.45225313279551854,0.5746253650053672
594.5,0.202602,0.45121373032429357,0.5738181756387417
594.6,0.202305,0.45013056353849074,0.5729769993514163
594.7,0.201986,0.4489671621759617,0.5720735137094741
594.8,0.201718,0.4479897591503888,0.5713144724805072
594.9,0.20141,0.44686647507622285,0.5704421415158734
595,0.201103,0.44574683802827175,0.5695726427946313
595.1,0.200822,0.44472202366190605,0.5687767824015725
595.2,0.200567,0.4437920319771258,0.5680545603366971
595.3,0.200316,0.4428766283972049,0.5673436672453884
595.4,0.200065,0.44196122481728395,0.5666327741540798
595.5,0.199868,0.44124276065296353,0.5660748222059211
595.6,0.199582,0.4401997111555238,0.5652648005959041
595.7,0.199313,0.439218661103736,0.5645029271235453
595.8,0.199064,0.43831055157624466,0.56379769851902
595.9,0.198775,0.43725656100016047,0.5629791801788279
596,0.198508,0.4362828050008023,0.5622229711932525
596.1,0.198256,0.4353637543946665,0.5615092458585521
596.2,0.197988,0.4343863513690936,0.5607502046295851
596.3,0.197685,0.4332813024260018,0.5598920348819096
596.4,0.197432,0.43235860479365124,0.5591754773038176
596.5,0.197234,0.43163649360311596,0.5586146931122673
596.6,0.196946,0.4305861500532466,0.5577990070154669
596.7,0.19671,0.429725451866548,0.5571305975750332
596.8,0.196417,0.42865687318560447,0.5563007502612746
596.9,0.196138,0.42763935287166843,0.5555105543549991
597,0.195842,0.42655983311208034,0.5546722103110653
597.1,0.195551,0.4254985484835665,0.5538480274840899
597.2,0.195224,0.42430597091131894,0.5529218838950145
597.3,0.194852,0.42294927715940417,0.5518682893533139
597.4,0.194623,0.42211410815620937,0.5512197056166219
597.5,0.194328,0.4210382354228362,0.5503841938160798
597.6,0.194094,0.42018483128856726,0.5497214488624295
597.7,0.193817,0.4191746050270609,0.5489369174429374
597.8,0.193576,0.4182956717092882,0.5482543467855454
597.9,0.193335,0.41741673839151555,0.5475717761281534
598,0.193127,0.416658156938832,0.5469826695026864
598.1,0.192897,0.41581934090942246,0.5463312535226028
598.2,0.192618,0.4148018205954865,0.5455410576163274
598.3,0.192425,0.41409794453602533,0.5449944346417355
598.4,0.192088,0.4128688967016295,0.5440399686187433
598.5,0.191815,0.41187325854498247,0.5432667661728179
598.6,0.19154,0.41087032633590564,0.5424878992401091
598.7,0.191256,0.4098345708908956,0.5416835421168754
598.8,0.190978,0.4088206976031744,0.5408961784539917
598.9,0.190702,0.40781411836788284,0.5401144792778912
599,0.190453,0.4069060088403916,0.539409250673366
599.1,0.19012,0.40569154911085503,0.5384661136239405
599.2,0.189924,0.4049767319727494,0.5379109939191735
599.3,0.189662,0.40402121110446537,0.5371689461505564
599.4,0.189414,0.4031167486031889,0.5364665497894228
599.5,0.189151,0.4021575807086902,0.5357216697774141
599.6,0.188924,0.401329705757925,0.5350787505275054
599.7,0.188673,0.40041430217800406,0.5343678574361967
599.8,0.188412,0.39946242833593487,0.5336286419109713
599.9,0.188226,0.3987840814599775,0.533101844640121
600,0.188015,0.3980145589286495,0.532504241284479
600.1,0.187772,0.3971283315584472,0.5318160061403037
600.2,0.187532,0.39625304526688937,0.5311362677263034
600.3,0.187338,0.3955455221812134,0.5305868125083197
600.4,0.187087,0.3946301186012925,0.5298759194170111
600.5,0.186803,0.3935943631562823,0.5290715622937773
600.6,0.186518,0.39255496068505735,0.5282643729271519
600.7,0.186245,0.3915593225284103,0.5274911704812265
600.8,0.185953,0.3904943908736816,0.5266641554108594
600.9,0.185715,0.38962639863455334,0.5259900814836423
601,0.185427,0.38857605508468396,0.5251743953868421
601.1,0.185147,0.3875548877445331,0.524381367237175
601.2,0.184893,0.38662854308596767,0.5236619774156912
601.3,0.18469,0.3858881967643583,0.5230870320071825
601.4,0.184477,0.3851113801806007,0.5224837641647573
601.5,0.184201,0.3841048009453092,0.5217020649886569
601.6,0.183922,0.38308728063137315,0.5209118690823815
601.7,0.183653,0.3821062305795854,0.5201499956100228
601.8,0.183456,0.381387766415265,0.5195920436618642
601.9,0.183211,0.380494244992633,0.5188981440309055
602,0.182928,0.3794621365738377,0.5180966191510634
602.1,0.182707,0.3786561437803615,0.5174706933615048
602.2,0.182452,0.37772615209558125,0.5167484712966294
602.3,0.182229,0.3769128652496754,0.5161168810202874
602.4,0.182057,0.3762855767407256,0.5156297351569205
602.5,0.181848,0.3755233482618273,0.5150377962880619
602.6,0.181608,0.3746480619702694,0.5143580578740615
602.7,0.1814,0.37388948051758597,0.5137689512485946
602.8,0.181206,0.37318195743191,0.5132194960306109
602.9,0.180938,0.372204554406337,0.5124604548016438
603,0.180711,0.37137667945557196,0.5118175355517353
603.1,0.180471,0.37050139316401404,0.5111377971377349
603.2,0.18016,0.3693671680112036,0.5102569694429261
603.3,0.179901,0.36842258822156415,0.509523418404484
603.4,0.179595,0.36730659819982786,0.5086567519266336
603.5,0.179318,0.3662963719383215,0.5078722205071415
603.6,0.17905,0.36531896891274845,0.5071131792781745
603.7,0.178817,0.36446921180469444,0.5064532665679158
603.8,0.178571,0.36357204335584764,0.5057565346935655
603.9,0.178344,0.3627441684050825,0.5051136154436568
604,0.178112,0.3618980583232432,0.5044565349767898
604.1,0.177849,0.3609388904287444,0.5037116549647811
